driver_id,driver_name,city,vehicle_type,rating,total_rides,joined_date,is_active
DRV001,Driver_1,Hyderabad,Bike,3.5,613,2023-03-27,Y
DRV002,Driver_2,Delhi,Bike,4.5,1877,2022-05-23,Y
DRV003,Driver_3,Pune,SUV,3.5,241,2023-04-23,Y
DRV004,Driver_4,Pune,Mini,3.5,457,2022-02-05,N
DRV005,Driver_5,Delhi,SUV,4.4,1707,2023-11-26,Y
DRV006,Driver_6,Hyderabad,SUV,4.0,368,2023-04-26,Y
DRV007,Driver_7,Mumbai,Bike,4.1,785,2022-12-15,Y
DRV008,Driver_8,Mumbai,SUV,4.3,1938,2022-11-10,Y
DRV009,Driver_9,Pune,Sedan,4.7,1316,2022-11-27,Y
DRV010,Driver_10,Hyderabad,Bike,3.6,516,2023-02-09,Y
DRV011,Driver_11,Delhi,Bike,4.1,978,2022-02-20,Y
DRV012,Driver_12,Delhi,Sedan,4.0,1422,2023-03-04,Y
DRV013,Driver_13,Pune,Auto,4.3,551,2023-06-18,N
DRV014,Driver_14,Chennai,Sedan,5.0,1360,2022-05-11,Y
DRV015,Driver_15,Hyderabad,Sedan,4.8,1639,2023-10-06,Y
DRV016,Driver_16,Mumbai,Sedan,4.1,185,2023-04-30,Y
DRV017,Driver_17,Delhi,SUV,4.1,1922,2022-02-12,N
DRV018,Driver_18,Delhi,Sedan,3.7,1575,2022-05-07,Y
DRV019,Driver_19,Hyderabad,Mini,4.1,1245,2022-10-20,Y
DRV020,Driver_20,Delhi,Auto,4.3,236,2023-10-15,Y
DRV021,Driver_21,Delhi,Auto,4.7,914,2022-04-01,Y
DRV022,Driver_22,Chennai,SUV,4.4,1008,2022-06-09,Y
DRV023,Driver_23,Pune,Bike,4.5,284,2022-01-03,Y
DRV024,Driver_24,Hyderabad,Sedan,3.7,940,2023-06-24,N
DRV025,Driver_25,Mumbai,Sedan,5.0,1610,2023-06-03,Y
DRV026,Driver_26,Hyderabad,Sedan,4.8,1089,2022-03-19,Y
DRV027,Driver_27,Delhi,Sedan,4.6,1154,2022-06-07,Y
DRV028,Driver_28,Pune,Sedan,4.2,279,2022-11-26,Y
DRV029,Driver_29,Delhi,Bike,3.9,1211,2023-09-13,Y
DRV030,Driver_30,Hyderabad,SUV,4.7,1607,2022-06-05,Y
DRV031,Driver_31,Delhi,SUV,4.9,388,2023-03-06,N
DRV032,Driver_32,Delhi,Mini,4.6,1462,2023-05-11,Y
DRV033,Driver_33,Chennai,Sedan,4.2,1109,2022-08-27,Y
DRV034,Driver_34,Delhi,Auto,3.6,93,2022-04-09,Y
DRV035,Driver_35,Pune,Auto,3.5,1499,2022-02-24,Y
DRV036,Driver_36,Delhi,Bike,4.9,1810,2022-12-29,Y
DRV037,Driver_37,Pune,Auto,3.9,1044,2023-04-27,Y
DRV038,Driver_38,Hyderabad,Mini,4.4,547,2022-08-05,N
DRV039,Driver_39,Delhi,Bike,3.6,932,2022-12-05,N
DRV040,Driver_40,Chennai,SUV,4.8,160,2022-01-12,Y
DRV041,Driver_41,Mumbai,SUV,4.6,1689,2023-08-13,Y
DRV042,Driver_42,Delhi,Auto,4.3,337,2022-09-26,Y
DRV043,Driver_43,Bengaluru,SUV,3.9,1940,2023-09-16,N
DRV044,Driver_44,Pune,Bike,3.6,1157,2023-11-17,Y
DRV045,Driver_45,Delhi,Auto,4.1,1035,2023-04-28,N
DRV046,Driver_46,Mumbai,Auto,4.1,849,2023-03-06,N
DRV047,Driver_47,Bengaluru,SUV,4.5,1546,2022-05-12,N
DRV048,Driver_48,Delhi,Auto,3.9,169,2022-04-18,Y
DRV049,Driver_49,Hyderabad,Sedan,3.6,1246,2022-08-01,Y
DRV050,Driver_50,Mumbai,Mini,3.6,430,2023-09-23,Y
DRV051,Driver_51,Hyderabad,Auto,4.1,1978,2022-04-28,Y
DRV052,Driver_52,Pune,Mini,3.6,217,2022-09-29,Y
DRV053,Driver_53,Bengaluru,Auto,4.5,693,2023-04-02,Y
DRV054,Driver_54,Chennai,Auto,4.5,664,2022-08-21,Y
DRV055,Driver_55,Mumbai,Bike,4.2,1203,2023-08-22,Y
DRV056,Driver_56,Pune,Auto,4.3,321,2022-12-10,Y
DRV057,Driver_57,Delhi,Sedan,3.9,947,2022-05-25,Y
DRV058,Driver_58,Pune,Mini,3.5,1723,2022-05-14,Y
DRV059,Driver_59,Hyderabad,Bike,4.9,325,2023-03-07,Y
DRV060,Driver_60,Mumbai,Mini,3.7,627,2022-03-23,Y
DRV061,Driver_61,Hyderabad,Sedan,3.8,1348,2023-03-07,N
DRV062,Driver_62,Bengaluru,Bike,3.6,917,2023-02-22,Y
DRV063,Driver_63,Mumbai,Sedan,4.7,1354,2023-03-09,Y
DRV064,Driver_64,Hyderabad,SUV,4.3,925,2022-05-07,Y
DRV065,Driver_65,Mumbai,Bike,4.9,1465,2023-07-03,Y
DRV066,Driver_66,Bengaluru,Mini,4.3,930,2023-07-25,Y
DRV067,Driver_67,Bengaluru,Sedan,4.8,1680,2023-10-23,Y
DRV068,Driver_68,Delhi,Auto,4.5,774,2022-05-08,N
DRV069,Driver_69,Pune,Auto,4.9,534,2023-06-19,Y
DRV070,Driver_70,Chennai,Bike,3.8,1943,2022-12-27,N
DRV071,Driver_71,Hyderabad,Auto,3.9,1662,2023-08-14,N
DRV072,Driver_72,Mumbai,SUV,3.8,1722,2022-08-18,Y
DRV073,Driver_73,Bengaluru,Auto,3.8,1401,2023-05-19,N
DRV074,Driver_74,Bengaluru,Sedan,4.8,1633,2023-02-20,Y
DRV075,Driver_75,Hyderabad,Mini,4.1,1777,2022-06-01,Y
DRV076,Driver_76,Mumbai,Bike,4.8,584,2023-06-03,Y
DRV077,Driver_77,Mumbai,Bike,4.4,757,2023-01-15,N
DRV078,Driver_78,Pune,Mini,3.7,1892,2022-04-21,Y
DRV079,Driver_79,Bengaluru,Bike,4.6,53,2022-06-18,Y
DRV080,Driver_80,Bengaluru,SUV,3.6,1410,2022-12-29,Y
DRV081,Driver_81,Hyderabad,Bike,4.6,665,2022-07-01,Y
DRV082,Driver_82,Hyderabad,SUV,4.0,1477,2023-02-03,Y
DRV083,Driver_83,Delhi,SUV,4.5,826,2022-01-08,Y
DRV084,Driver_84,Pune,Mini,4.0,1172,2023-12-02,Y
DRV085,Driver_85,Bengaluru,Auto,4.1,1237,2022-03-21,Y
DRV086,Driver_86,Chennai,SUV,4.2,487,2022-06-27,N
DRV087,Driver_87,Hyderabad,Auto,4.5,631,2022-06-23,Y
DRV088,Driver_88,Mumbai,Auto,4.5,510,2023-05-13,Y
DRV089,Driver_89,Mumbai,Bike,3.9,1023,2022-03-17,Y
DRV090,Driver_90,Chennai,SUV,4.8,1228,2023-05-17,N
DRV091,Driver_91,Chennai,SUV,3.9,1393,2023-11-27,Y
DRV092,Driver_92,Chennai,Auto,3.8,1475,2022-06-20,N
DRV093,Driver_93,Mumbai,Mini,3.9,1787,2023-07-31,N
DRV094,Driver_94,Delhi,SUV,4.5,1194,2022-04-02,Y
DRV095,Driver_95,Chennai,Mini,4.7,1876,2022-07-04,N
DRV096,Driver_96,Pune,SUV,4.8,1573,2022-08-03,N
DRV097,Driver_97,Bengaluru,Auto,4.8,617,2022-06-17,N
DRV098,Driver_98,Hyderabad,Auto,3.9,208,2023-02-13,Y
DRV099,Driver_99,Bengaluru,Sedan,4.0,1156,2023-09-11,Y
DRV100,Driver_100,Delhi,Auto,4.1,362,2023-04-27,Y
